,Datetime,Tweet Id,Text,Username,tokens,pos_tokens,Party
0,2022-03-30 12:50:04+00:00,1.51e+18,The MSME Sector be crucial for India’s economic progress. Our Government be take many step to add new energy into the sector and support local enterprise. Today’s Cabinet decision be a step in this direction.,narendramodi,"['The', 'MSME', 'Sector', 'be', 'crucial', 'for', 'India’s', 'economic', 'progress.', 'Our', 'Government', 'be', 'take', 'many', 'step', 'to', 'add', 'new', 'energy', 'into', 'the', 'sector', 'and', 'support', 'local', 'enterprise.', 'Today’s', 'Cabinet', 'decision', 'be', 'a', 'step', 'in', 'this', 'direction.']","[['The', 'n'], ['MSME', 'n'], ['Sector', 'n'], ['is', 'v'], ['crucial', 'a'], ['for', 'n'], ['India’s', 'n'], ['economic', 'a'], ['progress.', 'n'], ['Our', 'n'], ['Government', 'n'], ['is', 'v'], ['taking', 'v'], ['many', 'a'], ['steps', 'n'], ['to', 'n'], ['add', 'v'], ['new', 'a'], ['energy', 'n'], ['into', 'n'], ['the', 'n'], ['sector', 'n'], ['and', 'n'], ['support', 'v'], ['local', 'a'], ['enterprise.', 'n'], ['Today’s', 'n'], ['Cabinet', 'n'], ['decision', 'n'], ['is', 'v'], ['a', 'n'], ['step', 'n'], ['in', 'n'], ['this', 'n'], ['direction.', 'n']]",BJP
1,2022-03-30 06:37:12+00:00,1.51e+18,Was happy to participate in the 5th BIMSTEC Summit host by Sri Lanka. We take several important decision to further the BIMSTEC cooperation agenda. I commend the able leadership of @PresRajapaksa and extend my best wish to the incoming chair @prayutofficial.,narendramodi,"['Was', 'happy', 'to', 'participate', 'in', 'the', '5th', 'BIMSTEC', 'Summit', 'host', 'by', 'Sri', 'Lanka.', 'We', 'take', 'several', 'important', 'decision', 'to', 'further', 'the', 'BIMSTEC', 'cooperation', 'agenda.', 'I', 'commend', 'the', 'able', 'leadership', 'of', '@PresRajapaksa', 'and', 'extend', 'my', 'best', 'wish', 'to', 'the', 'incoming', 'chair', '@prayutofficial.']","[['Was', 'n'], ['happy', 'a'], ['to', 'n'], ['participate', 'v'], ['in', 'n'], ['the', 'n'], ['5th', 'a'], ['BIMSTEC', 'n'], ['Summit', 'n'], ['hosted', 'v'], ['by', 'n'], ['Sri', 'n'], ['Lanka.', 'n'], ['We', 'n'], ['took', 'v'], ['several', 'a'], ['important', 'a'], ['decisions', 'n'], ['to', 'n'], ['further', 'v'], ['the', 'n'], ['BIMSTEC', 'n'], ['cooperation', 'n'], ['agenda.', 'n'], ['I', 'n'], ['commend', 'v'], ['the', 'n'], ['able', 'a'], ['leadership', 'n'], ['of', 'n'], ['@PresRajapaksa', 'n'], ['and', 'n'], ['extend', 'v'], ['my', 'n'], ['best', 'a'], ['wishes', 'n'], ['to', 'n'], ['the', 'n'], ['incoming', 'v'], ['chair', 'n'], ['@prayutofficial.', 'n']]",BJP
2,2022-03-30 04:40:11+00:00,1.51e+18,Speaking at the BIMSTEC Summit.,narendramodi,"['Speaking', 'at', 'the', 'BIMSTEC', 'Summit.']","[['Speaking', 'v'], ['at', 'n'], ['the', 'n'], ['BIMSTEC', 'n'], ['Summit.', 'n']]",BJP
3,2022-03-30 03:06:59+00:00,1.51e+18,Congratulations to the entire @KonkanRailway Team for the remarkable success of ‘Mission 100% Electrification’ and set new benchmark of sustainable development.,narendramodi,"['Congratulations', 'to', 'the', 'entire', '@KonkanRailway', 'Team', 'for', 'the', 'remarkable', 'success', 'of', '‘Mission', '100%', 'Electrification’', 'and', 'set', 'new', 'benchmark', 'of', 'sustainable', 'development.']","[['Congratulations', 'n'], ['to', 'n'], ['the', 'n'], ['entire', 'a'], ['@KonkanRailway', 'n'], ['Team', 'n'], ['for', 'n'], ['the', 'n'], ['remarkable', 'a'], ['success', 'n'], ['of', 'n'], ['‘Mission', 'n'], ['100%', 'n'], ['Electrification’', 'n'], ['and', 'n'], ['setting', 'v'], ['new', 'a'], ['benchmarks', 'n'], ['of', 'n'], ['sustainable', 'a'], ['development.', 'n']]",BJP
4,2022-03-30 03:04:24+00:00,1.51e+18,"The enthusiasm towards this year’s Pariksha Pe Charcha have be phenomenal. Lakhs of people have share their valuable insight and experiences. I thank all those students, parent and teacher who have contributed.

Looking forward to the programme on 1st April.",narendramodi,"['The', 'enthusiasm', 'towards', 'this', 'year’s', 'Pariksha', 'Pe', 'Charcha', 'have', 'be', 'phenomenal.', 'Lakhs', 'of', 'people', 'have', 'share', 'their', 'valuable', 'insight', 'and', 'experiences.', 'I', 'thank', 'all', 'those', 'students,', 'parent', 'and', 'teacher', 'who', 'have', 'contributed.\n\nLooking', 'forward', 'to', 'the', 'programme', 'on', '1st', 'April.']","[['The', 'n'], ['enthusiasm', 'n'], ['towards', 'n'], ['this', 'n'], ['year’s', 'n'], ['Pariksha', 'n'], ['Pe', 'n'], ['Charcha', 'n'], ['has', 'v'], ['been', 'v'], ['phenomenal.', 'a'], ['Lakhs', 'n'], ['of', 'n'], ['people', 'n'], ['have', 'v'], ['shared', 'v'], ['their', 'n'], ['valuable', 'a'], ['insights', 'n'], ['and', 'n'], ['experiences.', 'n'], ['I', 'n'], ['thank', 'v'], ['all', 'n'], ['those', 'n'], ['students,', 'a'], ['parents', 'n'], ['and', 'n'], ['teachers', 'n'], ['who', 'n'], ['have', 'v'], ['contributed.\n\nLooking', 'v'], ['forward', 'r'], ['to', 'n'], ['the', 'n'], ['programme', 'n'], ['on', 'n'], ['1st', 'n'], ['April.', 'n']]",BJP
5,2022-03-30 03:03:24+00:00,1.51e+18,Remembering the courageous Shyamji Krishna Varma on his Punya Tithi. Every Indian be proud of his monumental contribution to our freedom struggle. To be able to bring back his ash from Geneva in 2003 will remain among the most special moment of my life.,narendramodi,"['Remembering', 'the', 'courageous', 'Shyamji', 'Krishna', 'Varma', 'on', 'his', 'Punya', 'Tithi.', 'Every', 'Indian', 'be', 'proud', 'of', 'his', 'monumental', 'contribution', 'to', 'our', 'freedom', 'struggle.', 'To', 'be', 'able', 'to', 'bring', 'back', 'his', 'ash', 'from', 'Geneva', 'in', '2003', 'will', 'remain', 'among', 'the', 'most', 'special', 'moment', 'of', 'my', 'life.']","[['Remembering', 'v'], ['the', 'n'], ['courageous', 'a'], ['Shyamji', 'n'], ['Krishna', 'n'], ['Varma', 'n'], ['on', 'n'], ['his', 'n'], ['Punya', 'n'], ['Tithi.', 'n'], ['Every', 'n'], ['Indian', 'n'], ['is', 'v'], ['proud', 'a'], ['of', 'n'], ['his', 'n'], ['monumental', 'a'], ['contribution', 'n'], ['to', 'n'], ['our', 'n'], ['freedom', 'n'], ['struggle.', 'n'], ['To', 'n'], ['be', 'v'], ['able', 'a'], ['to', 'n'], ['bring', 'v'], ['back', 'n'], ['his', 'n'], ['ashes', 'n'], ['from', 'n'], ['Geneva', 'n'], ['in', 'n'], ['2003', 'n'], ['will', 'n'], ['remain', 'v'], ['among', 'n'], ['the', 'n'], ['most', 'r'], ['special', 'a'], ['moments', 'n'], ['of', 'n'], ['my', 'n'], ['life.', 'n']]",BJP
6,2022-03-30 03:00:25+00:00,1.51e+18,"Best wish of Rajasthan Day to all the resident of Rajasthan, the historical land of bravery, self-respect and sacrifice. The state should move forward on the path of progress, this be the wish.",narendramodi,"['Best', 'wish', 'of', 'Rajasthan', 'Day', 'to', 'all', 'the', 'resident', 'of', 'Rajasthan,', 'the', 'historical', 'land', 'of', 'bravery,', 'self-respect', 'and', 'sacrifice.', 'The', 'state', 'should', 'move', 'forward', 'on', 'the', 'path', 'of', 'progress,', 'this', 'be', 'the', 'wish.']","[['Best', 'a'], ['wishes', 'n'], ['of', 'n'], ['Rajasthan', 'n'], ['Day', 'n'], ['to', 'n'], ['all', 'n'], ['the', 'n'], ['residents', 'n'], ['of', 'n'], ['Rajasthan,', 'n'], ['the', 'n'], ['historical', 'a'], ['land', 'n'], ['of', 'n'], ['bravery,', 'a'], ['self-respect', 'a'], ['and', 'n'], ['sacrifice.', 'v'], ['The', 'n'], ['state', 'n'], ['should', 'n'], ['move', 'v'], ['forward', 'r'], ['on', 'n'], ['the', 'n'], ['path', 'n'], ['of', 'n'], ['progress,', 'n'], ['this', 'n'], ['is', 'v'], ['the', 'n'], ['wish.', 'n']]",BJP
7,2022-03-29 15:38:23+00:00,1.51e+18,Delighted to address Matua Dharma Maha Mela 2022 on the Jayanti of Sri Sri Harichand Thakur Ji.,narendramodi,"['Delighted', 'to', 'address', 'Matua', 'Dharma', 'Maha', 'Mela', '2022', 'on', 'the', 'Jayanti', 'of', 'Sri', 'Sri', 'Harichand', 'Thakur', 'Ji.']","[['Delighted', 'v'], ['to', 'n'], ['address', 'v'], ['Matua', 'n'], ['Dharma', 'n'], ['Maha', 'n'], ['Mela', 'n'], ['2022', 'n'], ['on', 'n'], ['the', 'n'], ['Jayanti', 'n'], ['of', 'n'], ['Sri', 'n'], ['Sri', 'n'], ['Harichand', 'n'], ['Thakur', 'n'], ['Ji.', 'n']]",BJP
8,2022-03-29 10:37:35+00:00,1.51e+18,"This be my request to all State Governments, Local Bodies and Panchayats…",narendramodi,"['This', 'be', 'my', 'request', 'to', 'all', 'State', 'Governments,', 'Local', 'Bodies', 'and', 'Panchayats…']","[['This', 'n'], ['is', 'v'], ['my', 'n'], ['request', 'n'], ['to', 'n'], ['all', 'n'], ['State', 'n'], ['Governments,', 'n'], ['Local', 'n'], ['Bodies', 'n'], ['and', 'n'], ['Panchayats…', 'n']]",BJP
9,2022-03-29 10:37:14+00:00,1.51e+18,"For a long time the rural economy be see as confine to agriculture only, but we be continuously expand the role of villages.",narendramodi,"['For', 'a', 'long', 'time', 'the', 'rural', 'economy', 'be', 'see', 'as', 'confine', 'to', 'agriculture', 'only,', 'but', 'we', 'be', 'continuously', 'expand', 'the', 'role', 'of', 'villages.']","[['For', 'n'], ['a', 'n'], ['long', 'a'], ['time', 'n'], ['the', 'n'], ['rural', 'a'], ['economy', 'n'], ['was', 'v'], ['seen', 'v'], ['as', 'r'], ['confined', 'v'], ['to', 'n'], ['agriculture', 'v'], ['only,', 'a'], ['but', 'n'], ['we', 'n'], ['are', 'v'], ['continuously', 'r'], ['expanding', 'v'], ['the', 'n'], ['role', 'n'], ['of', 'n'], ['villages.', 'n']]",BJP
